	Code	ROE	PM
0	003620	0.82	0.007367519677702017
0	084370	11.81	0.03424524468556609
0	079160	-5.83	0.03053080750718292
0	103590	10.52	0.05017275751915234
0	087010	-35.68	-0.014302327087564064
0	253450	5.88	0.03859588047980372
0	036830	7.63	0.07501520142759507
0	069960	2.24	0.04472523894367067
0	006040	9.97	0.09031459157654147
0	192080	18.9	0.22124015318263143
0	300720	12.52	0.12766178138717824
0	001740	3.05	0.030570121266176486
0	267270	8.52	0.08506151123440396
0	018290	47.27	0.0954751645542542
0	112040	2.26	-0.0010583460177637396
0	121600	5.01	0.010802776543417967
0	365550	1.05	0.013893228311719064
0	204270	6.4	0.012606208809963083
0	051980	-114.48	0.0
0	034230	5.07	0.06061830176106703
0	352480	25.08	0.045724662708320575
0	009450	14.65	0.07812115012440535
0	353200	4.73	0.03100102794968636
0	033100	57.64	0.06774755216127237
0	000210	4.05	0.0632559684288761
0	287410	36.36	0.04981849336919613
0	120110	4.39	0.057776367070765645
0	001800	5.26	0.25421627330454466
0	330590	0.3	0.017229754245882162
0	140410	-29.03	-0.015121762254715239
0	248070	15.99	0.07076852308399993
0	002840	16.95	0.06700401326121096
0	085620	3.35	0.0056125728642065905
0	085660	-2.94	-0.0048796225083364035
0	145720	19.8	0.11013247989170549
0	336370	-0.12	-0.016385513315592865
0	056190	12.48	0.10211037303403035
0	214370	18.02	0.043876223219416796
0	078130	-22.79	-0.04304207420918913
0	007340	27.29	0.12098281067147335
0	241710	21.97	0.06510005534897716
0	285130	0.69	0.011826630127533698
0	042000	10.12	0.02062693288244621
0	003540	4.73	0.009947784294796666
0	229640	16.77	0.040028818934266734
0	002710	1.3	0.010121079315271874
0	047920	-22.32	-0.023053965964898036
0	317330	-4.05	-0.0057316772607168024
0	100090	5.55	0.03670341089570543
0	000400	19.72	0.028071521414183377
0	023590	9.35	0.013170925612836726
0	950210	3.99	-0.19779080936251958
0	119860	0.29	0.032515371307723695
0	005250	-5.37	-0.006219021593489588
0	281820	7.22	0.038780085252147045
0	025540	12.25	0.11501863264505138
0	000640	6.64	0.04854495421366804
0	019170	-19.13	-0.056032001601995125
0	319660	18.18	0.09793570047381474
0	178920	-0.55	-0.003998733529319124
0	192400	12.72	0.09123818433906049
0	067310	2.94	0.05098025540670701
0	214320	10.74	0.06371191135734072
0	271940	0.45	-0.012543226133120491
0	213420	11.72	0.05694508328369238
0	069260	11.67	0.1042736988191312
0	064550	2.51	0.012125534950071327
0	086450	11.28	0.07809783846348921
0	048410	-28.02	-0.012957288150652538
0	222080	17.96	0.06730210321315945
0	039130	43.71	0.04865056978985985
0	003850	11.23	0.07141631831273305
0	002350	9.46	0.07364542754384143
0	098460	10.01	0.02843221096257435
0	001530	2.87	0.01363746497765129
0	166090	8.81	0.04535141421070472
0	053030	-4.99	-0.013762503401804628
0	003530	0.59	0.0027806958458835187
0	004800	0.32	0.0393295117086558
0	074600	16.24	0.08526700433973654
0	115450	-1.66	-0.012438722136619033
0	005420	-10.55	0.0026197452364124466
0	001680	7.51	0.07464267467507384
0	005440	14.4	0.0881083075874332
0	183300	26.0	0.1301765597190937
0	383310	34.05	0.050136601248197465
0	089590	27.28	0.06553853595907322
0	025320	12.21	0.032451214560457686
0	020560	-3.53	0.038956768646139485
0	090460	17.46	0.11281320115964705
0	222800	3.77	0.023994553236415334
0	003570	9.29	0.06844623616693243
0	393890	1.29	0.008015744874593323
0	348950	2.67	0.019058157546188555
0	000370	7.76	0.031270291720875275
0	093370	-3.21	-0.005777636799607273
0	001430	6.09	0.07770774682731778
0	009520	4.23	0.006263755642373683
0	268280	4.95	0.02892030848329049
0	105630	17.22	0.141139489194499
0	032350	-39.04	0.02435514973351374
0	071970	8.99	0.03841320089330374
0	114090	13.61	0.07636522092661152
0	003030	9.22	0.10089464203626129
0	006110	1.73	0.004621015893862561
0	006650	0.16	-0.007384557861282483
0	010780	7.91	0.0802141053840838
0	170900	1.39	0.006463359292211971
0	036540	4.61	0.022263992813126396
0	007390	-19.7	-0.016040295714531323
0	181710	1.94	0.05030393076032826
0	381970	11.8	0.06136519503013479
0	440110	-50.2	-0.08235651387181639
0	122870	2.27	-0.00688025909804807
0	006120	6.63	0.03807791016324787
0	344820	5.58	0.06871626799778517
0	365340	-9.83	-0.028583746805170798
0	064960	9.91	0.11785507923554427
0	005180	14.7	0.14966353942034086
0	199800	-84.21	-0.02412671179725661
0	001060	24.79	0.09324511737617254
0	003240	-0.46	-0.07351641435152827
0	012630	4.52	0.04493575661662629
0	069080	10.76	0.08823982482084393
0	017960	6.22	0.04637877044910385
0	161000	4.52	0.03798104712062608
0	049770	13.02	0.1014615674434029
0	192650	12.06	0.07117990684619503
0	000070	9.11	0.032435930142039264
0	041190	26.51	0.22199463404783196
0	009900	22.73	0.1641183352338779
0	006380	-3002.99	-0.15839281417916432
0	030190	17.7	0.11557537091349271
0	003380	1.34	0.06489665104828984
0	005880	15.07	0.11671117947579895
0	403550	-12.31	0.0009333757857530715
0	189300	3.9	0.00992444233113844
0	340570	31.1	0.08584832344033606
0	399720	15.54	0.010600631797655139
0	003470	4.08	0.008967338397413684
0	036810	-5.61	-0.014296500011615906
0	000670	-1.58	-0.09066115367118939
0	278280	-18.5	-0.02654867256637168
0	025900	2.3	0.015088140133205325
0	101490	13.4	0.05123656750640537
0	030610	3.93	0.005119827937891511
0	015750	13.63	0.08761092150170649
0	131970	13.34	0.07233726328067908
0	057050	9.91	0.09290670778720124
0	016380	7.96	0.21202238053637118
0	293940	1.48	0.017040192628264495
0	046890	0.59	0.011316657897802788
0	008730	-5.96	-0.0175449996750926
0	058610	7.17	0.026645131188322617
0	272290	15.59	0.10592129801830175
0	215200	17.0	0.1104494362771125
0	418550	18.0	0.01968740663862633
0	014830	9.59	0.13383297644539616
0	058970	19.36	0.0118900204129249
0	237880	17.66	0.07198252930576937
0	053800	13.34	0.04162283655847252
0	131290	8.1	0.04647110254280185
0	007700	5.84	0.43820226193124495
0	091810	44.55	0.08629931333855502
0	060370	9.89	0.026820728205291994
0	144510	-0.03	0.006256008056517693
0	383800	9.32	0.31934954883892486
0	003280	23.02	0.04327606877376555
0	002030	9.06	0.13229609671483036
0	272450	112.52	0.14146248293832017
0	003960	17.38	0.1216036470310122
0	348210	27.58	0.09223108105282339
0	338220	-144.33	-0.0063804832277738685
0	071320	7.84	0.04283795106379629
0	017940	10.35	0.030069147692845362
0	145990	7.58	0.05792892724479839
0	420770	20.87	0.06678395200714397
0	377740	1.14	0.007627765064836003
0	336570	30.31	0.07890709769890503
0	195870	13.87	0.14074550128534705
0	251970	13.2	0.07928415723226215
0	016800	13.33	0.06392445291927722
0	078340	2.12	0.006406401441646983
0	194480	33.81	0.09739078999076742
0	376300	16.86	0.05659732900185663
0	241590	8.58	0.05661837207309254
0	335890	44.89	0.04514957416156684
0	077970	12.29	0.05037863633772503
0	284740	14.85	0.20059221077880654
0	031430	6.53	0.06218954076876098
0	091120	-4.67	-0.0229124825557148
0	002240	4.36	0.05054540557525699
0	080220	11.21	0.03525436619383563
0	249420	-43.75	-0.06062597068337267
0	001200	3.09	0.0035387693672374854
0	358570	-66.32	-0.11183041121657765
0	007460	-30.65	-0.18034873228981027
0	290690	-12.66	0.001299141994661046
0	003520	-4.32	0.006022685572032101
0	033240	11.33	0.09905262622965223
0	099190	2.42	0.014504031239066874
0	005610	15.51	0.07943440117867062
0	030520	12.66	0.07582128024155409
0	082920	17.27	0.09816791517456656
0	018250	13.17	0.12901520723044657
0	014620	9.37	0.10480897849988581
0	095660	7.42	0.055381742531841464
0	025980	17.47	0.20603116018353226
0	397030	-22.27	-0.029978849250685374
0	079370	13.16	0.07619916854007261
0	323280	-4.48	-0.001502131062609016
0	003160	4.91	0.01689641092071359
0	183190	12.29	0.12826581973987175
0	101360	-11.35	0.008257774694875224
0	228760	-5.43	-0.021669656623077353
0	220100	-10.02	-0.018814228753248254
0	017810	12.65	0.038133872189368076
0	314930	-2.27	-0.0047206613817438806
0	091700	9.52	0.10020904023330335
0	200130	7.61	0.05506912362780701
0	084850	1.5	0.010285899283345227
0	003300	7.12	0.14783159793989786
0	432320	11.49	0.05484955808769009
0	253590	10.02	0.02274572728137988
0	130660	15.53	0.04955665850887826
0	206640	17.02	0.08257482722727917
0	126560	-0.25	0.005482974076992032
0	002960	31.27	0.08643236616264814
0	215000	16.86	0.16479394986171003
0	290650	39.5	0.014685283410235585
0	093050	5.51	0.04329696589345628
0	114840	41.62	0.0983702068837235
0	215600	-29.9	-0.0696371908893369
0	032190	5.49	0.013734453119328935
0	099320	3.53	0.00458716606348491
0	049070	5.03	0.036816924572026614
0	256840	13.06	0.013908187787238848
0	453340	11.82	0.15476298299017013
0	286940	10.32	0.06977237661258708
0	006730	5.09	0.027017302635248687
0	005090	10.79	0.07332437998784395
0	039440	13.64	0.06981319469379713
0	206650	-11.77	0.017601587160259367
0	900140	-10.26	0.012650360648106013
0	101160	25.3	0.13750807568164378
0	001820	10.9	0.06481963022662104
0	001340	3.65	0.029744799701543704
0	082270	-22.43	-0.0192195687323405
0	005690	4.56	0.003367749924154386
0	357120	2.61	0.020142633257119576
0	075580	12.5	0.0588456391858913
0	200880	19.68	0.10599480022774116
0	108860	-2.74	0.009923053977178187
0	179900	-91.71	-0.041231598306281286
0	372170	16.4	0.04540408695036854
0	034950	18.64	0.06361335702971976
0	034310	0.51	0.038138575649624286
0	058650	3.89	0.0656896100497252
0	020000	5.06	0.11924562450910002
0	200670	19.16	0.12117844198796293
0	068240	1.83	0.024260927913869433
0	102710	-4.73	0.03680656140288134
0	005810	8.45	0.13440320664641697
0	023160	9.52	0.121420933824403
0	029530	5.65	0.06020369312773654
0	032500	-31.45	-0.13559546814507836
0	176750	20.31	0.013383711644144784
0	161580	-6.15	0.017253649213813185
0	171090	-0.7	0.027633895623580474
0	108670	9.3	0.06008057278474701
0	115390	-7.27	-0.04629875873686103
0	033270	13.47	0.11982988513760828
0	033500	15.65	0.08603112757188959
0	448730	0.46	0.008998571476778062
0	029960	19.79	0.08802456499488229
0	107640	-83.21	-0.031018081832050032
0	123890	5.3	0.09922525961766941
0	059090	-25.04	0.025647351302005413
0	089010	-5.73	0.08222366271434961
0	095610	0.52	-0.015394464630617386
0	026890	11.38	0.08745434869787344
0	439090	21.02	0.07145395688998124
0	036530	8.5	0.161634038864408
0	252990	-1.22	-0.007650391259475471
0	004690	5.27	0.04260177163852835
0	011930	9.86	0.04566651966888307
0	104830	11.3	0.15938327657964432
0	043150	13.52	0.12045861342727997
0	032820	5.06	0.018619478239144827
0	002310	9.8	0.17009748041942077
0	095500	-0.54	0.019666502061393937
0	097520	12.44	0.07028265596625988
0	003000	-12.8	-0.0707467759892385
0	004700	2.23	0.016044770512666073
0	334970	-16.54	-0.0417599399805735
0	243070	16.61	0.10059169471857678
0	007160	3.69	-0.028025328330206378
0	138580	21.39	0.05849331569656536
0	013030	11.85	0.14407855193580746
0	093230	-49.27	-0.012623432286796889
0	089980	2.94	0.017777545787109352
0	451800	0.94	0.018756312220458808
0	038500	4.85	0.07607429205191964
0	060980	8.91	0.0889024760810862
0	104700	8.26	0.20284118191293754
0	319400	2.67	0.009648584775589863
0	013890	0.85	0.024271757740800703
0	323990	-19.24	-0.03403534034408071
0	003920	-9.48	-0.15892527877776802
0	060280	-5.33	0.003304417080399712
0	099430	18.86	0.0818144650096287
0	094170	64.09	0.06972078519937172
0	360070	13.95	0.036029450159260616
0	003220	10.92	0.07904375942062417
0	230360	18.09	0.12557338463830567
0	394280	-2.2	-0.0005618621459987549
0	297890	40.57	0.019209305982181846
0	088260	4.19	0.022710974052935318
0	093320	9.3	0.056018554917839455
0	031330	8.92	0.09199028548196418
0	027410	3.45	0.1224083561593531
0	166480	-15.31	-0.013278124661407821
0	122640	-36.27	-0.0009400713890212822
0	306200	20.68	0.2707228475140428
0	126720	10.21	0.11597947671538729
0	025860	2.34	0.018628570356409697
0	003350	14.58	0.024678981295525867
0	119610	7.52	0.044258660186360405
0	110990	7.23	0.05339498371168981
0	094360	11.87	0.021576347613207477
0	001250	6.78	0.07125328966658527
0	009290	6.96	0.0550915282930395
0	035890	17.85	0.25163830430240364
0	045100	15.39	0.13923429319371727
0	053610	12.82	0.09888751545117429
0	058820	3.44	0.009822414028502681
0	005390	21.69	0.16086073644166138
0	010690	16.91	0.09390914938447878
0	025770	11.67	0.07547647218656058
0	084690	2.85	0.04007067011636208
0	084110	7.95	0.1581263744597609
0	005160	1.04	0.024508605281193144
0	011500	7.87	-0.006255714040885001
0	388720	-17.54	-0.023883546556538498
0	041830	14.36	0.12323064688603642
0	009470	25.99	0.07829525139300302
0	051360	22.8	0.09523731822251481
0	072710	6.11	0.11219902945604479
0	218410	11.18	0.02071618796591462
0	018310	23.35	0.2635323097831857
0	001940	8.37	0.30041856576273074
0	083450	16.97	0.12023340330634504
0	114190	12.32	0.01615830719766174
0	267980	10.17	0.11744774850257661
0	035150	25.09	0.16180178161241526
0	036620	37.53	0.10762422187395129
0	378340	-8.42	0.03672183286012171
0	243840	6.45	0.04528597677703713
0	322000	-4.12	-0.02769705775517617
0	006220	0.96	0.00038396074857873603
0	094480	-0.04	0.017263473061757635
0	216080	21.74	0.005576285755305117
0	337930	22.89	0.09463757497533376
0	060250	17.7	0.08168379079924785
0	007690	2.93	0.04090530234196979
0	136480	4.29	0.05182934827865947
0	151860	7.53	0.09673632014788354
0	001390	11.06	0.10038045598962925
0	034120	2.26	0.007794114257298347
0	095700	-23.49	-0.1159620853518101
0	304360	-477.19	-0.01957620134253589
0	265520	17.26	0.1264698106577501
0	003800	8.11	0.16467777326759706
0	050890	14.45	0.07634723059796981
0	114810	22.58	0.07357833487361132
0	002320	1.7	0.046239256934445735
0	006390	9.29	0.07517691006360719
0	060150	0.5	0.05538078885941162
0	122900	4.31	0.04115701867351928
0	009680	6.26	0.0501583949313622
0	100790	7.66	0.03174887124551807
0	126700	22.06	0.1679860538451298
0	041960	-6.8	-0.018669642746014032
0	200710	-10.23	-0.04156192583632628
0	044490	6.87	0.07829545676637861
0	900290	7.93	0.09169161267866649
0	004430	5.02	0.08929116551682031
0	000500	5.65	0.06095561385162623
0	041020	33.22	0.01949417765509442
0	092040	-15.14	0.004188716352116342
0	298690	66.45	0.119680723584562
0	001270	7.89	0.056371809200597166
0	035600	14.19	0.09694754219871299
0	084650	-2.14	-0.0208506577769274
0	001500	4.28	0.006274546788499054
0	000430	6.17	0.09044381636238637
0	001630	8.61	0.018950942697923086
0	272550	8.98	0.10017489597029286
0	174900	-40.0	-0.04447184081710627
0	051370	17.94	0.11061670070138106
0	000680	1.92	0.018526726887792413
0	004360	6.78	0.05221145530244622
0	000480	0.06	0.0376839627766615
0	017390	1.91	-0.0033776651889381466
0	205470	-17.48	-0.16375959528878645
0	950130	-0.53	0.057813109914926934
0	001790	5.97	0.05523815009729111
0	084010	6.42	0.08183562283313504
0	101730	8.0	0.012551434042626982
0	078020	3.09	0.004912096636221598
0	023410	7.0	0.0581993306387411
0	100840	12.78	0.06624168211477895
0	007810	1.84	-0.0004992639601068125
0	007570	-1.1	0.05951343923845835
0	024720	-0.61	0.025697021621016558
0	033790	-8.62	-0.010754500412742361
0	054950	15.17	0.09548763406377539
0	029460	6.44	0.14505755486179403
0	226320	0.92	0.02812546680462266
0	334890	7.13	0.09313865058300354
0	015360	4.99	0.05196590596645587
0	027360	6.61	0.05869498174486584
0	217270	-4.17	0.007681097586948279
0	100120	10.88	0.08297449334440846
0	034830	-0.84	0.03497107279725459
0	005500	6.99	0.05062003368084192
0	255220	-47.71	-0.0474194160590454
0	102940	-20.12	-0.05898116763133099
0	348340	-55.35	0.003074085459575776
0	060720	13.13	0.11090631480468874
0	117580	4.72	0.028372739916550763
0	000540	15.99	0.03844321433888681
0	102460	1.44	0.0035676463707691158
0	416180	13.64	0.028286637931034482
0	108490	-1.51	-0.019767030256945657
0	003580	-40.28	-0.04821579145661027
0	011760	17.7	0.06850664553973626
0	950170	39.8	0.0982753412995637
0	016580	7.02	0.09328873901265963
0	001230	9.45	0.09537502539102173
0	211050	59.54	0.12247087676272225
0	005720	3.63	0.0722802476712449
0	011000	-53.09	-0.22775487758951768
0	121800	-2.88	-0.03330970923517408
0	950140	25.1	0.1231705356218737
0	299900	25.3	-0.07417169653074934
0	009160	-1.09	0.025056150834019037
0	089970	4.8	0.014250160136174531
0	096760	16.48	0.1384957819241021
0	123860	5.85	0.014677917562291452
0	357550	10.5	0.013687754934435652
0	389020	-4.67	-0.008296525731081946
0	083650	16.02	0.038681827436535775
0	077360	12.14	0.043534611233957125
0	118990	16.88	0.09410920927956429
0	039840	-13.41	-0.05926839388481447
0	417010	14.35	0.02051434632820933
0	441270	13.09	0.08147300613774068
0	033640	-49.65	-0.07622286852439364
0	268600	-175.42	-0.06929658031275668
0	056080	-12.48	-0.01886381099071451
0	013120	4.93	0.09392842487041009
0	086890	5.1	0.011107443439616378
0	000490	4.41	0.04092153136179235
0	058430	11.2	0.13456090651558072
0	144960	8.16	0.02521817164433694
0	006340	10.02	0.03931039366808584
0	299030	3.04	-0.01941743590024087
0	096040	-35.53	-0.0866074839236801
0	001510	0.4	0.00225517019760013
0	084680	-3.92	0.027275165904821798
0	150840	-60.18	-0.020277279118648062
0	078150	18.65	0.033811754185629976
0	002810	10.38	0.048409374891993616
0	425040	16.53	0.06422560436293705
0	092230	9.54	0.09501912368831113
0	108230	16.55	0.11325452131745538
0	425420	16.86	0.03510320246134498
0	138490	10.79	0.1442375017504551
0	377190	1.12	0.014363020556902183
0	064090	-34.95	-0.003820116325088843
0	307750	5.13	0.017839263161585368
0	097230	-31.41	-0.04581448854566201
0	001780	7.19	0.05416533906364206
0	002150	7.7	0.03951473737314687
0	263720	15.97	0.06339186896514822
0	082850	8.23	0.047317568842239914
0	053210	1.65	0.02163275047991841
0	001130	8.5	0.08618240215000761
0	126340	4.11	0.01673401864521972
0	052020	-56.63	-0.11666511337538155
0	090360	0.77	0.004255113389101108
0	102120	-11.1	-0.038811583981821295
0	148150	-4.89	0.1228133188612663
0	126600	-3.87	0.055363397535829896
0	290550	17.41	0.07904551890030644
0	235980	-68.44	-0.1256488366313826
0	270520	-9.93	-0.02939749641151545
0	037710	6.0	0.16013898547139785
0	036200	9.05	0.08717764599401907
0	078350	9.91	0.055320230567769774
0	179290	14.5	0.06305875197338115
0	025000	8.07	0.14216632950995928
0	213500	6.81	0.0657920477246096
0	048870	1.45	0.05860207332572705
0	214430	14.91	0.04491564143033492
0	208340	-68.87	-0.1457200778723279
0	214680	-0.36	0.0013321104559347852
0	294090	-82.07	-0.15781144840348688
0	012030	5.96	0.060206875510627526
0	024850	-1.32	-0.0042129940955589916
0	000520	1.31	0.016272494282471375
0	270660	4.42	0.006106631060393686
0	004090	7.91	0.04355496449855584
0	071280	14.18	0.0823325618202194
0	003120	-5.04	-0.03193230351654492
0	086980	-25.24	-0.12680578381343438
0	016590	8.41	0.1474737668117573
0	064260	-9.1	0.005247478940573883
0	000020	7.45	0.052649409291831
0	298830	7.32	0.04049994755256792
0	271980	3.16	0.01583669635592156
0	070960	9.32	0.09455158948953578
0	043370	8.5	0.12180218347726901
0	024060	1.42	0.00042176296921130323
0	064290	-7.87	-0.014849806358525085
0	005010	7.54	0.2521099061676397
0	054450	-6.83	0.024993187250306824
