	Code	Name	ROE	PM	EY
0	005930	삼성전자	10.55	8.348330914368649	0.08801804572032976
0	000660	SK하이닉스	27.55	14.911125319693094	0.14730354369021292
0	373220	LG에너지솔루션	2.31	0.5151898734177215	0.012109203367776761
0	207940	삼성바이오로직스	10.13	1.5270466321243523	0.018144882262731556
0	005380	현대차	14.0	22.105494505494505	0.06569103107934877
0	068270	셀트리온	3.24	1.336297071129707	0.014417235986362556
0	000270	기아	21.07	26.540000000000003	0.18271548652876476
0	105560	KB금융	8.7	15.067226890756302	0.01065953814022899
0	055550	신한지주	8.83	16.704028021015763	0.009755922939526157
0	005490	POSCO홀딩스	3.67	7.296060606060606	0.04490276435924311
0	028260	삼성물산	6.79	9.112474437627812	0.05896602912489604
0	035420	NAVER	6.62	6.239821882951654	0.050364152644887125
0	006400	삼성SDI	6.31	5.006413994169097	0.026854327202288936
0	051910	LG화학	2.38	3.1845906902086676	0.03221244764644095
0	012330	현대모비스	8.78	18.593457943925234	0.06572664412897262
0	032830	삼성생명	5.54	11.938796680497925	0.009647464367095623
0	086790	하나금융지주	9.26	20.599364069952305	0.008563190189617993
0	138040	메리츠금융지주	23.65	13.279821627647713	0.028208574553178097
0	003670	포스코퓨처엠	3.45	0.4925925925925926	0.005034993202759176
0	000810	삼성화재	13.06	12.10653409090909	0.03323495237755256
0	066570	LG전자	9.31	10.53670634920635	0.08062462433541277
0	196170	알테오젠	-0.95	-0.008637873754152824	-0.0004617205003652584
0	329180	HD현대중공업	8.47	2.9494030699260945	0.023611418345517773
0	259960	크래프톤	17.07	6.667492260061919	0.06602467270519688
0	247540	에코프로비엠	-2.06	-0.1834282099936749	0.002036732131686031
0	035720	카카오	3.83	2.5352941176470587	0.020572554473806213
0	012450	한화에어로스페이스	15.76	4.188620689655172	0.035952388695567335
0	033780	KT&G	11.44	7.3016157989228	0.06762910529084486
0	015760	한국전력	7.98	21.21004566210046	0.034757008199677725
0	003550	LG	4.53	8.865248226950355	0.09792888750553606
0	017670	SK텔레콤	10.38	9.71280276816609	0.062296611551244635
0	011200	HMM	12.47	23.306699446834664	0.22770721364864085
0	009540	HD한국조선해양	10.24	8.819941348973607	0.04131343761457988
0	316140	우리금융지주	9.19	25.347526612398248	0.008377974503009943
0	018260	삼성에스디에스	8.83	6.757755775577558	0.0609558287203202
0	028300	HLB	-32.55	-1.715456674473068	-0.011142876728850754
0	024110	기업은행	8.52	24.913544668587896	0.008315666721264187
0	010130	고려아연	6.91	5.967419962335216	0.07028604152070071
0	034020	두산에너빌리티	6.46	4.496077248038624	0.06060379835422571
0	030200	KT	7.16	11.635922330097086	0.052676028425251736
0	086520	에코프로	3.43	0.49165596919127086	0.020666784198894804
0	096770	SK이노베이션	-0.72	-1.533582089552239	0.02306566749233146
0	034730	SK	5.25	10.76082327892122	0.03965411535648906
0	000100	유한양행	8.27	1.7070063694267514	0.01051196976601211
0	009150	삼성전기	8.51	6.865030674846626	0.06515952622346036
0	323410	카카오뱅크	7.24	4.587654320987655	0.007695244763301508
0	402340	SK스퀘어	14.47	24.66525423728814	0.20295086408765295
0	042660	한화오션	3.99	1.8564437194127241	0.011313304064052747
0	042700	한미반도체	42.13	3.181347150259067	0.02697483471851105
0	047050	포스코인터내셔널	10.9	7.8662674650698605	0.06559782226864061
0	267260	HD현대일렉트릭	41.06	6.139330543933054	0.06824494965821493
0	010140	삼성중공업	7.24	3.100936524453694	0.022999437337861188
0	005830	DB손해보험	15.63	20.845500848896435	0.04979363126522707
0	086280	현대글로비스	15.06	15.1654478976234	0.10916043916089364
0	003490	대한항공	13.19	16.09438202247191	0.07406469378797127
0	326030	SK바이오팜	22.82	0.9039385206532181	0.0093534519194562
0	090430	아모레퍼시픽	12.67	7.27501909854851	0.02707273087997894
0	352820	하이브	6.13	2.6896135265700485	0.024483310897901855
0	010950	S-Oil	6.96	9.367796610169492	0.0636566624681513
0	267250	HD현대	9.67	11.95736434108527	0.06343411507504208
0	011070	LG이노텍	15.46	14.32656587473002	0.09132670279030472
0	064350	현대로템	19.37	6.641051567239637	0.04486593329016469
0	034220	LG디스플레이	-14.98	-21.103835360149674	-0.00591028887136051
0	051900	LG생활건강	6.16	5.703834808259587	0.08481874050354599
0	029780	삼성카드	7.86	12.661434977578475	0.03479011962482567
0	047810	한국항공우주	13.8	4.674509803921569	0.028764044943820226
0	161390	한국타이어앤테크놀로지	12.33	25.1175	0.19904716061268066
0	006800	미래에셋증권	6.65	12.120481927710843	0.008200336926004378
0	251270	넷마블	4.51	4.659649122807018	0.030917025985836743
0	021240	코웨이	19.88	11.72809667673716	0.11309196246749147
0	028050	삼성E&A	18.96	15.610878661087865	0.104261084043109
0	097950	CJ제일제당	7.28	10.716938110749187	0.07344802874227163
0	005940	NH투자증권	9.59	15.548293391430645	0.017331762274612455
0	180640	한진칼	14.79	8.5037147102526	0.008143256472281172
0	078930	GS	8.9	28.025723472668812	0.1717042360969392
0	032640	LG유플러스	6.64	13.225480283114258	0.07314041144767792
0	307950	현대오토에버	10.95	4.3352941176470585	0.04209227630014981
0	016360	삼성증권	11.86	19.622722400857448	0.018531957383556175
0	036460	한국가스공사	8.23	19.88641425389755	0.044923505017583173
0	241560	두산밥캣	11.38	17.267878787878786	0.11980698082483887
0	011790	SKC	-16.3	-5.244729605866178	-0.02234046528937545
0	454910	두산로보틱스	0.23	0.02358490566037736	0.00048572549903437773
0	128940	한미약품	17.11	4.413629160063391	0.05482370965913895
0	009830	한화솔루션	-13.22	-24.04710920770878	-0.011361700489535326
