	Unnamed: 0	Code	Name	ROE	PM	EY	ROE_Rank	PM_Rank	Total_Rank
956	0	5860	한일사료	109.57	73.9493670886076	0.008157871121952	2.0	9.0	11.0
2352	0	154040	다산솔루에타	55.28	99.42857142857144	-0.0007780284758422	10.0	4.0	14.0
1897	0	301300	바이브컴퍼니	82.83	63.04761904761905	-0.0941388343156516	3.0	15.0	18.0
2316	0	42940	상지건설	43.07	160.26143790849673	0.3479628514859754	19.0	1.0	20.0
1262	0	92460	한라IMS	55.21	66.72051696284329	0.0345244481043201	11.0	14.0	25.0
1723	0	85310	엔케이	41.19	95.25641025641023	-0.0128825623275932	22.0	5.0	27.0
1119	0	16710	대성홀딩스	34.23	123.80829015544042	0.0125785043323136	34.0	3.0	37.0
1726	0	3560	IHQ	43.12	58.7639405204461	-0.1753837780084869	18.0	19.0	37.0
805	0	92790	넥스틸	35.49	73.26639892904953	0.4153300458626817	32.0	10.0	42.0
2356	0	243870	굿센	52.55	41.68604651162791	0.0380485140936172	12.0	44.0	56.0
600	0	298690	에어부산	66.45	37.20833333333333	0.1197330208386406	4.0	62.0	66.0
2534	0	114920	대주이엔티	27.53	93.13253012048192	0.1740366050167587	65.0	6.0	71.0
1804	0	19540	일지테크	29.93	56.23529411764706	0.0777109088334692	52.0	21.0	73.0
2432	0	53060	세동	29.75	50.638686131386855	0.1385345019957324	53.0	24.0	77.0
2515	0	202960	판도라티비	34.84	40.95022624434389	0.3929557788651897	33.0	47.0	80.0
1774	0	19180	티에이치엔	28.65	48.28746177370031	0.1287874260443435	56.0	27.0	83.0
1511	0	208140	정다운	30.34	41.28099173553719	0.2399539717342264	49.0	45.0	94.0
843	0	194370	제이에스코퍼레이션	26.09	47.47058823529412	0.1856778665206543	77.0	28.0	105.0
1805	0	38010	제일테크노스	26.24	45.149136577708006	0.2690849624619044	74.0	32.0	106.0
2310	0	208350	지란지교시큐리티	24.96	42.64752791068581	0.0389523842808518	87.0	42.0	129.0
1202	0	8260	NI스틸	23.77	44.17610062893082	0.2257451665948241	96.0	36.0	132.0
1301	0	35610	솔본	26.51	37.60752688172043	0.239228834567393	72.0	60.0	132.0
1600	0	53980	오상자이엘	28.45	33.342175066313	0.0628956498273714	57.0	80.0	137.0
2391	0	43590	웰킵스하이텍	23.99	40.67388688327316	0.0243160089064677	94.0	48.0	142.0
718	0	211050	인카금융서비스	59.54	26.069767441860463	0.1296164715119542	7.0	139.0	146.0
602	0	18310	삼목에스폼	23.35	42.96825396825397	0.2848747790556206	106.0	41.0	147.0
381	0	272450	진에어	112.52	25.063538611925708	0.1411193194052231	1.0	151.0	152.0
1128	0	38110	에코플라스틱	23.5	39.833055091819695	0.0829133122252913	102.0	52.0	154.0
578	0	297890	HB솔루션	40.57	26.94894146948941	0.0218361193144184	25.0	132.0	157.0
1702	0	90410	덕신이피씨	23.52	38.00872093023256	0.234746390721445	100.0	57.0	157.0
2139	0	46310	백금T&A	24.22	36.07064017660044	0.2432811888796026	93.0	65.0	158.0
256	0	7340	DN오토모티브	27.29	30.41482300884956	0.1204482640320262	67.0	96.0	163.0
548	0	306200	세아제강	20.68	59.44464285714286	0.2753725069229052	146.0	18.0	164.0
2394	0	17250	인터엠	23.43	36.74812030075188	0.1875264360184109	104.0	64.0	168.0
288	0	5440	현대지에프홀딩스	19.36	89.3089430894309	0.0749653904845711	164.0	7.0	171.0
1750	0	94840	슈프리마에이치큐	19.45	61.45077720207254	-0.0357934099824903	161.0	16.0	177.0
1596	0	378850	화승알앤에이	23.6	33.64116094986807	0.0835111973021366	99.0	78.0	177.0
920	0	7860	서연	19.08	69.01875901875903	0.1504436242238011	169.0	12.0	181.0
109	0	1450	현대해상	21.01	41.1808972503618	0.019188507734439	138.0	46.0	184.0
2270	0	6920	모헨즈	28.25	27.527272727272727	0.236651672208097	58.0	127.0	185.0
506	0	200880	서연이화	19.68	45.42412451361867	0.10933635043529	156.0	31.0	187.0
988	0	92200	디아이씨	31.14	24.842105263157897	0.0553699494860411	45.0	155.0	200.0
1787	0	94970	제이엠티	19.94	38.67816091954023	0.1304159634778906	150.0	53.0	203.0
2256	0	206950	볼빅	57.28	22.995391705069125	0.0318232713718328	9.0	196.0	205.0
1180	0	13310	아진산업	19.21	43.90651085141904	0.1030805018236495	167.0	38.0	205.0
282	0	400	롯데손해보험	19.72	38.41897233201581	0.0281830366809981	155.0	55.0	210.0
850	0	83310	엘오티베큠	22.87	29.91035856573705	0.2418898508489902	110.0	102.0	212.0
1305	0	89850	유비벨록스	22.58	30.290697674418603	0.1698613806082913	116.0	99.0	215.0
679	0	11760	현대코퍼레이션	17.7	47.448467966573816	0.0693219277693147	207.0	29.0	236.0
519	0	35890	서희건설	17.85	41.72320217096336	0.2483033892938228	202.0	43.0	245.0
2026	0	111870	KH 미래물산	17.31	48.95622895622896	-0.14656459183902	220.0	26.0	246.0
1153	0	2780	진흥기업	18.4	37.5	0.1464718163520614	188.0	61.0	249.0
747	0	299900	위지윅스튜디오	25.3	24.20796100731113	-0.0888942141729353	83.0	166.0	249.0
554	0	5390	신성통상	21.69	26.620689655172413	0.1625557876008401	123.0	134.0	257.0
2091	0	66360	체리부로	18.33	35.14492753623188	0.1106986234404778	190.0	71.0	261.0
1690	0	53270	구영테크	19.63	28.936170212765955	0.1110202956585321	157.0	111.0	268.0
686	0	540	흥국화재	15.99	133.11385459533608	0.0385470986564645	268.0	2.0	270.0
6	0	270	기아	21.07	26.540000000000003	0.1827154865287647	136.0	135.0	271.0
