	Code	ROE	PM	Name
0	005930	10.85	0.08001237379524301	삼성전자
0	000660	27.58	0.13055664055094818	SK하이닉스
0	373220	2.5	0.012917435615998042	LG에너지솔루션
0	207940	10.15	0.018321434743495478	삼성바이오로직스
0	005380	14.0	0.0644524612754882	현대차
0	068270	3.33	0.013871011867648634	셀트리온
0	000270	21.14	0.17921238373449544	기아
0	105560	8.7	0.01063885965859233	KB금융
0	055550	8.82	0.009743919803941105	신한지주
0	005490	3.67	0.04456757576726217	POSCO홀딩스
0	028260	6.74	0.057872358952306566	삼성물산
0	035420	6.62	0.048762352021765404	NAVER
0	006400	6.32	0.027581706307493528	삼성SDI
0	051910	2.84	0.032414859773581384	LG화학
0	012330	8.78	0.06485141223282578	현대모비스
0	086790	9.25	0.008538857671269736	하나금융지주
0	032830	5.46	0.009641123189537002	삼성생명
0	138040	24.07	0.027989320986592146	메리츠금융지주
0	329180	8.53	0.021845300179333702	HD현대중공업
0	247540	-2.06	0.0018800364568753775	에코프로비엠
0	000810	13.16	0.033162585259132606	삼성화재
0	196170	4.75	-0.00039984292737539525	알테오젠
0	259960	16.81	0.0609346188340607	크래프톤
0	035720	3.79	0.01944044385072597	카카오
0	003670	3.45	0.005078896126240826	포스코퓨처엠
0	066570	9.22	0.08054607386002466	LG전자
0	033780	11.47	0.07000542844476047	KT&G
0	012450	15.63	0.03585087513370456	한화에어로스페이스
0	015760	7.98	0.03483043726806146	한국전력
0	009540	9.99	0.039252170773451056	HD한국조선해양
0	011200	12.47	0.21105054634434883	HMM
0	003550	4.75	0.10900135756295574	LG
0	316140	9.16	0.008370764241507792	우리금융지주
0	017670	10.38	0.06306746226420545	SK텔레콤
0	086520	3.43	0.01909839390064675	에코프로
0	034020	6.39	0.057038054539591786	두산에너빌리티
0	018260	8.83	0.061784344572688187	삼성에스디에스
0	042700	40.46	0.021883321401286942	한미반도체
0	267260	40.71	0.053155886350630434	HD현대일렉트릭
0	024110	8.52	0.00831149498511229	기업은행
0	028300	-32.55	-0.011091409809580014	HLB
0	010130	6.88	0.06904583657179274	고려아연
0	402340	13.73	0.17918559103270584	SK스퀘어
0	009150	8.5	0.06074626928778332	삼성전기
0	323410	7.24	0.007599086272526503	카카오뱅크
0	034730	5.98	0.03991167425949423	SK
0	042660	4.31	0.011559509163283573	한화오션
0	096770	-0.72	0.023129494390352286	SK이노베이션
0	030200	7.2	0.05342337199870623	KT
0	047050	10.94	0.06316793283604064	포스코인터내셔널
0	010140	7.24	0.02208029982169405	삼성중공업
0	086280	15.07	0.10665456438119661	현대글로비스
0	000100	8.01	0.012010510246979628	유한양행
0	326030	22.69	0.008973472356961061	SK바이오팜
0	005830	15.63	0.049686996122639764	DB손해보험
0	003490	13.19	0.07421440444462854	대한항공
0	352820	6.13	0.023322605900358544	하이브
0	090430	12.33	0.030791735635772054	아모레퍼시픽
0	010950	7.22	0.06322495870441669	S-Oil
0	267250	9.69	0.06270027401092614	HD현대
0	011070	15.48	0.08784216954849801	LG이노텍
0	064350	18.79	0.04098423784141477	현대로템
0	034220	-15.11	-0.006619559507449487	LG디스플레이
0	047810	13.88	0.026904762688426204	한국항공우주
0	051900	6.16	0.0843395650659705	LG생활건강
0	161390	12.33	0.19200180965307045	한국타이어앤테크놀로지
0	029780	7.86	0.03475069844825574	삼성카드
0	251270	4.49	0.029715857654481828	넷마블
0	028050	18.96	0.09829211578332436	삼성E&A
0	010120	14.68	0.05382764963916797	LS ELECTRIC
0	097950	7.24	0.07214109187555073	CJ제일제당
0	006800	6.65	0.008198385122441714	미래에셋증권
0	021240	19.88	0.11438896486251285	코웨이
0	011790	-11.73	-0.015278761366146953	SKC
0	005940	9.59	0.017325628387247716	NH투자증권
0	036460	8.18	0.04451717470768721	한국가스공사
0	180640	14.79	0.0081744066965962	한진칼
0	009830	-12.19	-0.009209039184296535	한화솔루션
0	307950	11.0	0.04127176625634411	현대오토에버
0	302440	1.3	-0.0027100677390464933	SK바이오사이언스
0	454910	0.23	0.0	두산로보틱스
0	032640	6.65	0.07321423578247854	LG유플러스
0	010620	3.52	0.010123389904693973	HD현대미포
0	022100	21.08	0.02403418721882133	포스코DX
0	078930	8.9	0.17102698701125554	GS
0	016360	11.35	0.018384463734988206	삼성증권
0	036570	5.59	0.015717028405310956	엔씨소프트
0	071050	11.1	0.0118642447665722	한국금융지주
0	079550	18.54	0.03315810206881563	LIG넥스원
0	348370	-18.04	0.0007871668709802012	엔켐
0	241560	11.89	0.13112707123625517	두산밥캣
0	128940	17.11	0.05615699668004213	한미약품
0	003230	38.27	0.07645628257093225	삼양식품
0	001040	7.36	0.07697341194663719	CJ
0	006260	8.55	0.06748784805850448	LS
0	011780	7.15	0.06811270218536947	금호석유
0	271560	13.5	0.13282581540013771	오리온
0	000720	6.35	0.04511111290838266	현대건설
0	011170	-1.55	-0.014186051468255002	롯데케미칼
0	145020	15.58	0.04360903492950346	휴젤
0	272210	7.21	0.037716981606025546	한화시스템
0	039490	15.7	0.021228961124973043	키움증권
0	000250	-5.27	0.002700071197502389	삼천당제약
0	141080	1.95	-0.0026152151724323446	리가켐바이오
0	005070	7.41	0.00901024470401946	코스모신소재
0	004020	1.01	0.027380208970883384	현대제철
0	214150	31.96	0.03446879182991151	클래시스
0	066970	-28.15	-0.05593234817219179	엘앤에프
0	377300	-0.01	-0.0059000617223175225	카카오페이
0	035250	8.92	0.07168750341575537	강원랜드
0	138930	7.76	0.007205238784706799	BNK금융지주
0	001570	-38.52	-0.004019536046428395	금양
