	Unnamed: 0	Code	ROE	PM	ROE_Rank	PM_Rank	Total_Rank
2519	0	440790	1.76	-0.0	1482.0	1688.0	3170.0
2513	0	448760	1.75	-0.0	1484.0	1688.0	3172.0
2351	0	207490	1.46	0.0025773195876288	1512.0	1661.0	3173.0
196	0	395400	0.38	0.0083120322245373	1615.0	1560.0	3175.0
2017	0	49830	0.29	0.0083904583707407	1618.0	1558.0	3176.0
758	0	54450	-6.83	0.0249931872503068	1914.0	1263.0	3177.0
845	0	82800	-3.24	0.0183165666300335	1798.0	1385.0	3183.0
1794	0	5750	-2.98	0.0177307908936041	1789.0	1394.0	3183.0
1427	0	66980	0.73	0.0065355585385193	1588.0	1595.0	3183.0
2503	0	437780	2.8	-0.0092259007938887	1367.0	1817.0	3184.0
119	0	263750	2.5	-0.0064079731094932	1402.0	1782.0	3184.0
965	0	92070	3.38	-0.0171944044427495	1299.0	1886.0	3185.0
1885	0	134790	3.81	-0.022379269729093	1253.0	1933.0	3186.0
836	0	19680	2.46	-0.0063651786898318	1408.0	1780.0	3188.0
155	0	139480	-0.06	0.008866335939364	1646.0	1547.0	3193.0
1840	0	8870	-8.14	0.0259911894273127	1948.0	1245.0	3193.0
1435	0	36580	-14.01	0.0331014480569975	2056.0	1138.0	3194.0
912	0	49950	2.66	-0.0087646937512889	1386.0	1812.0	3198.0
1461	0	123420	2.0	-0.0016228642092715	1461.0	1737.0	3198.0
643	0	7810	1.84	-0.0004992639601068	1475.0	1725.0	3200.0
1730	0	220180	3.15	-0.0159957003557443	1326.0	1874.0	3200.0
1505	0	36090	-18.81	0.0373925167265822	2126.0	1075.0	3201.0
1219	0	396690	-0.81	0.010327190684703	1684.0	1520.0	3204.0
103	0	141080	1.95	-0.0026152151724323	1462.0	1743.0	3205.0
755	0	24060	1.42	0.0004217629692113	1520.0	1686.0	3206.0
1169	0	54620	6.27	-0.0716801290427303	999.0	2211.0	3210.0
344	0	122870	2.27	-0.006880259098048	1426.0	1788.0	3214.0
1452	0	288620	0.14	0.00721018655156	1631.0	1583.0	3214.0
1075	0	8970	-1.78	0.0125103736587031	1732.0	1483.0	3215.0
722	0	90360	0.77	0.0042551133891011	1583.0	1634.0	3217.0
1621	0	65950	-6.3	0.0218948296454533	1899.0	1318.0	3217.0
2165	0	238200	2.08	-0.0056520485850096	1450.0	1768.0	3218.0
1149	0	88390	-6.84	0.0224445355917523	1915.0	1305.0	3220.0
634	0	17390	1.91	-0.0033776651889381	1469.0	1753.0	3222.0
1910	0	3080	0.95	0.0025888593615096	1566.0	1660.0	3226.0
1391	0	66410	4.32	-0.0349060759472649	1213.0	2013.0	3226.0
1974	0	53160	1.25	-0.0	1538.0	1688.0	3226.0
2048	0	90150	-61.26	0.0538882135320461	2404.0	823.0	3227.0
2177	0	169670	-0.16	0.0074395075046031	1652.0	1579.0	3231.0
2512	0	450940	1.15	-0.0	1543.0	1688.0	3231.0
2504	0	450050	1.09	-0.0	1548.0	1688.0	3236.0
527	0	7160	3.69	-0.0280253283302063	1261.0	1977.0	3238.0
1736	0	27740	-3.23	0.0149557967152094	1797.0	1442.0	3239.0
1210	0	26150	-2.17	0.0122002019963044	1751.0	1488.0	3239.0
2534	0	438580	2.73	-0.0146638316592125	1379.0	1862.0	3241.0
1163	0	3460	1.46	-0.001145654306947	1512.0	1730.0	3242.0
1496	0	218150	1.04	0.0	1555.0	1688.0	3243.0
396	0	144510	-0.03	0.0062560080565176	1643.0	1601.0	3244.0
828	0	24810	-4.11	0.0162991479676282	1828.0	1421.0	3249.0
2498	0	444920	0.97	-0.0	1562.0	1688.0	3250.0
590	0	6220	0.96	0.0003839607485787	1564.0	1687.0	3251.0
698	0	299030	3.04	-0.0194174359002408	1342.0	1910.0	3252.0
1546	0	50110	-15.3	0.0310359017554121	2081.0	1172.0	3253.0
308	0	3530	0.59	0.0027806958458835	1600.0	1655.0	3255.0
2455	0	412930	1.71	-0.0054109274762568	1494.0	1763.0	3257.0
2514	0	439730	2.14	-0.0092985196756676	1440.0	1818.0	3258.0
1340	0	225190	2.19	-0.0101444757796029	1436.0	1823.0	3259.0
824	0	16610	0.65	0.0023600071983543	1594.0	1665.0	3259.0
2478	0	425290	1.92	-0.0072903301061472	1467.0	1793.0	3260.0
1145	0	56090	2.76	-0.017967676150605	1373.0	1891.0	3264.0
1403	0	411080	2.06	-0.0091051047769932	1452.0	1813.0	3265.0
2463	0	430220	1.72	-0.0061695643053687	1492.0	1774.0	3266.0
2436	0	106240	-4.15	0.0153038873786927	1831.0	1437.0	3268.0
2529	0	413600	0.81	-0.0	1581.0	1688.0	3269.0
457	0	126560	-0.25	0.005482974076992	1656.0	1615.0	3271.0
1537	0	352700	2.01	-0.0091618515683192	1458.0	1814.0	3272.0
2491	0	448370	1.9	-0.0078037208140841	1471.0	1801.0	3272.0
79	0	302440	1.3	-0.0027100677390464	1531.0	1746.0	3277.0
700	0	1510	0.4	0.0022551701976001	1614.0	1666.0	3280.0
222	0	82740	-0.19	0.0046774531532098	1653.0	1627.0	3280.0
766	0	6060	-7.57	0.0200250256069001	1932.0	1354.0	3286.0
2500	0	415580	1.81	-0.0087531566071014	1477.0	1811.0	3288.0
2100	0	38950	2.32	-0.0153325353113764	1419.0	1869.0	3288.0
1601	0	88130	-3.98	0.0126189877334835	1820.0	1478.0	3298.0
483	0	108860	-2.74	0.0099230539771781	1769.0	1529.0	3298.0
2019	0	88290	-4.84	0.0148923913035384	1854.0	1444.0	3298.0
1759	0	4410	-2.08	0.0086506427542908	1745.0	1554.0	3299.0
498	0	161580	-6.15	0.0172536492138131	1897.0	1403.0	3300.0
818	0	2390	-8.02	0.0195309230314224	1945.0	1359.0	3304.0
867	0	81000	2.48	-0.0186852704013426	1405.0	1899.0	3304.0
1932	0	1290	0.21	0.000531043437213	1624.0	1685.0	3309.0
80	0	454910	0.23	0.0	1622.0	1688.0	3310.0
2293	0	18620	-3.44	0.0108508247983199	1800.0	1512.0	3312.0
1763	0	950110	0.11	0.0012379966016002	1634.0	1679.0	3313.0
835	0	67080	-1.52	0.0061118377067504	1712.0	1603.0	3315.0
2155	0	65500	-14.37	0.0254948557882207	2061.0	1256.0	3317.0
859	0	3200	0.9	-0.0028034951735027	1571.0	1748.0	3319.0
2269	0	91340	-6.85	0.0172423178700121	1916.0	1405.0	3321.0
1542	0	16880	-14.77	0.0255957511638113	2070.0	1252.0	3322.0
2506	0	448830	1.37	-0.008161000212186	1525.0	1804.0	3329.0
1562	0	352910	1.11	-0.0066298664877486	1547.0	1786.0	3333.0
2231	0	317240	-7.17	0.0169172911661204	1922.0	1411.0	3333.0
1816	0	38870	3.16	-0.0347920479295252	1323.0	2011.0	3334.0
2547	0	217320	-13.22	0.023182022341674	2044.0	1291.0	3335.0
738	0	214680	-0.36	0.0013321104559347	1661.0	1676.0	3337.0
1364	0	302550	2.62	-0.0238305291100595	1393.0	1945.0	3338.0
2312	0	14910	-4.84	0.0122959048857655	1854.0	1486.0	3340.0
1877	0	21880	8.05	-0.8689551037168638	811.0	2540.0	3351.0
862	0	3070	-5.68	0.0125813503425387	1878.0	1480.0	3358.0
2354	0	1000	-4.46	0.0102882844167419	1840.0	1521.0	3361.0
825	0	71840	-2.78	0.0068197642756794	1772.0	1590.0	3362.0
1770	0	227610	-1.35	0.002601208334105	1706.0	1658.0	3364.0
1926	0	288980	0.65	-0.0058732832099513	1594.0	1771.0	3365.0
